Designator;Val;Package;Mid X;Mid Y;Rotation;Layer;
C1;100pF;0805;196.625.000;-111.750.000;0.000000;top;
C2;100nF;0603;185.800.000;-115.550.000;0.000000;top;
C3;100nF;0603;194.875.000;-111.550.000;0.000000;top;
C4;10pF;0805;184.175.000;-115.750.000;0.000000;top;
C5;100nF;0603;195.550.000;-116.000.000;0.000000;top;
C6;1nF;0603;193.400.000;-110.500.000;0.000000;top;
C7;10pF;0805;197.275.000;-116.200.000;0.000000;top;
C8;100pF;0805;196.625.000;-108.500.000;180.000.000;top;
C9;100nF;0603;193.950.000;-116.000.000;0.000000;top;
C10;1nF;0603;189.500.000;-109.750.000;90.000.000;top;
C11;10pF;0805;192.250.000;-115.800.000;0.000000;top;
C12;100pF;0805;193.225.000;-107.575.000;180.000.000;top;
C13;100nF;0603;194.900.000;-108.700.000;180.000.000;top;
C14;100nF;0603;191.025.000;-108.350.000;270.000.000;top;
C15;100pF;0805;182.250.000;-104.250.000;180.000.000;top;
C16;1.2nF;0603;187.350.000;-115.550.000;0.000000;top;
C17;100pF;0805;184.150.000;-104.250.000;180.000.000;top;
C18;39nF;0805;193.300.000;-103.950.000;180.000.000;top;
C19;100nF;0603;185.850.000;-104.050.000;180.000.000;top;
C20;2.7nF;0805;195.250.000;-103.950.000;180.000.000;top;
C21;100nF;0603;187.350.000;-104.050.000;180.000.000;top;
C22;1nF;0603;176.000.000;-104.500.000;180.000.000;top;
C23;100nF;0603;177.250.000;-111.000.000;90.000.000;top;
C24;100pF;0805;177.050.000;-109.000.000;90.000.000;top;
C25;1nF;0603;176.000.000;-115.500.000;0.000000;top;
C26;100pF;0805;182.325.000;-116.700.000;0.000000;top;
C27;100nF;0603;182.050.000;-113.800.000;180.000.000;top;
C28;100pF;0805;137.150.000;-108.050.000;90.000.000;top;
C29;1nF;0603;116.050.000;-107.300.000;0.000000;top;
C30;100pF;0805;127.450.000;-109.850.000;90.000.000;top;
C31;100pF;0805;121.250.000;-109.850.000;90.000.000;top;
C32;1nF;0603;129.200.000;-107.250.000;0.000000;top;
C33;100pF;0805;110.400.000;-110.950.000;0.000000;top;
J1;BM06B;BM06B;208.000.000;-110.000.000;270.000.000;top;
L1;10uH;0805;199.325.000;-108.525.000;270.000.000;top;
L2;3.9nH;0603;178.000.000;-104.500.000;0.000000;top;
L3;3.9nH;0603;178.000.000;-115.500.000;0.000000;top;
L4;1.9nH;0402;175.250.000;-107.000.000;270.000.000;top;
L5;1.9nH;0402;175.250.000;-113.000.000;270.000.000;top;
L6;100nH;0805;124.550.000;-108.950.000;180.000.000;top;
L7;100nH;0805;112.800.000;-108.950.000;180.000.000;top;
R1;10K;0603;189.625.000;-112.025.000;90.000.000;top;
R2;0.001R;1206;199.475.000;-116.050.000;0.000000;top;
R3;51R;0603;191.825.000;-110.500.000;0.000000;top;
R4;10K;0603;189.150.000;-105.550.000;180.000.000;top;
R5;5.1K;0603;190.450.000;-115.550.000;0.000000;top;
R6;680R;0603;188.900.000;-115.550.000;180.000.000;top;
R7;715R;0603;190.700.000;-105.550.000;0.000000;top;
R8;715R;0603;189.950.000;-103.000.000;270.000.000;top;
R9;0.001R;1206;180.200000;-105.200.000;180.000.000;top;
R10;0.001R;1206;180.200000;-114.800.000;0.000000;top;
R11;50R;0402;170.600000;-113.000.000;270.000.000;top;
R12;10K;0603;198.900.000;-103.000.000;180.000.000;top;
R13;10K;0603;200.500.000;-103.000.000;180.000.000;top;
R14;10K;0603;197.300.000;-103.000.000;180.000.000;top;
U1;ADF4351;ADF4351;185.000.000;-110.000.000;270.000.000;top;
U2;SMA3117;SMA3117;131.850.000;-108.950.000;0.000000;top;
U3;SMA3117;SMA3117;116.950.000;-110.750.000;0.000000;top;
X1;ASE-25;ASE-25;199.250.000;-111.850.000;270.000.000;top;
