Designator;Mid X;Mid Y;Layer;Rotation
C1;196,625;-111,75;top;0
C2;185,8;-115,55;top;0
C3;194,875;-111,55;top;0
C4;184,175;-115,75;top;0
C5;195,55;-116;top;0
C6;193,4;-110,5;top;0
C7;197,275;-116,2;top;0
C8;196,625;-108,5;top;180
C9;193,95;-116;top;0
C10;189,5;-109,75;top;90
C11;192,25;-115,8;top;0
C12;193,225;-107,575;top;180
C13;194,9;-108,7;top;180
C14;191,025;-108,35;top;270
C15;182,25;-104,25;top;180
C16;187,35;-115,55;top;0
C17;184,15;-104,25;top;180
C18;193,3;-103,95;top;180
C19;185,85;-104,05;top;180
C20;195,25;-103,95;top;180
C21;187,35;-104,05;top;180
C22;176;-104,5;top;180
C23;177,25;-111;top;90
C24;177,05;-109;top;90
C25;176;-115,5;top;0
C26;182,325;-116,7;top;0
C27;182,05;-113,8;top;180
C28;137,15;-108,05;top;90
C29;116,05;-107,3;top;0
C30;127,45;-109,85;top;90
C31;121,25;-109,85;top;90
C32;129,2;-107,25;top;0
C33;110,4;-110,95;top;0
J1;208;-110;top;270
L1;199,325;-108,525;top;270
L2;178;-104,5;top;0
L3;178;-115,5;top;0
L4;175,25;-107;top;270
L5;175,25;-113;top;270
L6;124,55;-108,95;top;180
L7;112,8;-108,95;top;180
R1;189,625;-112,025;top;90
R2;199,475;-116,05;top;0
R3;191,825;-110,5;top;0
R4;189,15;-105,55;top;180
R5;190,45;-115,55;top;0
R6;188,9;-115,55;top;180
R7;190,7;-105,55;top;0
R8;189,95;-103;top;270
R9;180,2;-105,2;top;180
R10;180,2;-114,8;top;0
R11;170,6;-113;top;270
R12;198,9;-103;top;180
R13;200,5;-103;top;180
R14;197,3;-103;top;180
U1;185;-110;top;270
U2;131,85;-108,95;top;0
U3;116,95;-110,75;top;0
X1;199,25;-111,85;top;270
